precipitationLast6Hours,visibility,barometricPressure,windDirection,relativeHumidity,heatIndex,rawMessage,timestamp,maxTemperatureLast24Hours,elevation,temperature,minTemperatureLast24Hours,precipitationLastHour,precipitationLast3Hours,dewpoint,windChill,windGust,seaLevelPressure,windSpeed,textDescription
,16090,101560,310,72.546120189925,,,2022-05-05T02:51:00+00:00,,9,17.8,,,,12.8,,,101550,11.16,Mostly Cloudy
,16090,101690,350,74.290523029752,,KLGA 050951Z 35009KT 10SM SCT046 BKN250 14/09 A3003 RMK AO2 SLP168 T01390094,2022-05-05T09:51:00+00:00,,9,13.9,,,,9.4,,,101680,16.56,Mostly Cloudy
,16090,102240,80,57.870774670853,,KNYC 031651Z AUTO 08007KT 040V110 10SM CLR 16/08 A3019 RMK AO2 SLP214 T01610078 $,2022-05-03T16:51:00+00:00,,27,16.1,,,,7.8,,,102140,12.96,Clear
,16090,102100,150,40.890358323204,,KJFK 011651Z 15013KT 10SM FEW200 BKN250 16/03 A3015 RMK AO2 SLP209 T01610028,2022-05-01T16:51:00+00:00,,7,16.1,,,,2.8,,,102090,24.12,Mostly Cloudy
,16090,,,,,KNYC 030832Z AUTO 36003KT 10SM BKN013 11/09 A3015 RMK AO2 T01110089 $,2022-05-03T08:32:00+00:00,,27,,,,,,,,,,Mostly Cloudy
,16090,101800,0,,,KNYC 302151Z AUTO 00000KT 10SM CLR 19/M08 A3006 RMK AO2 SLP169 T01891083 $,2022-04-30T21:51:00+00:00,,27,18.9,,,,,,,101690,0,
,16090,101930,340,81.750052187031,,KLGA 030548Z 34004KT 10SM SCT016 BKN022 11/08 A3010 RMK AO2,2022-05-03T05:48:00+00:00,,9,11,,,,8,,,,7.56,Mostly Cloudy
,16090,101930,140,37.394400145295,,KJFK 011951Z 14009KT 10SM FEW140 FEW200 BKN240 16/01 A3010 RMK AO2 SLP193 T01560011,2022-05-01T19:51:00+00:00,,7,15.6,,,,1.1,,,101930,16.56,Mostly Cloudy
,16090,102070,320,31.147584739118,,KLGA 300951Z 32006KT 10SM FEW250 08/M08 A3014 RMK AO2 SLP205 T00831078,2022-04-30T09:51:00+00:00,,9,8.3,,,,-7.8,6.407665852161666,,102050,11.16,Mostly Clear
,16090,101830,350,69.530934577901,,KEWR 051151Z 35013G18KT 10SM SCT022 SCT080 BKN250 17/11 A3007 RMK AO2 SLP183 70003 T01670111 10167 20144 53013,2022-05-05T11:51:00+00:00,,9,16.7,,,,11.1,,,101830,24.12,Mostly Cloudy
,16090,101900,350,45.123994330123,,KJFK 051551Z 35006KT 10SM FEW050 FEW085 BKN250 19/07 A3009 RMK AO2 SLP190 T01940072,2022-05-05T15:51:00+00:00,,7,19.4,,,,7.2,,,101900,11.16,Mostly Cloudy
,16090,102100,290,31.147584739118,,KLGA 301051Z 29008KT 10SM FEW250 08/M08 A3015 RMK AO2 SLP209 T00831078,2022-04-30T10:51:00+00:00,,9,8.3,,,,-7.8,5.864281835073333,,102090,14.76,Mostly Clear
,12870,101860,90,92.934812010123,,KNYC 021316Z AUTO 09004KT 8SM FEW011 OVC021 11/10 A3008 RMK AO2 T01110100 $,2022-05-02T13:16:00+00:00,,27,11.1,,,,10,,,,7.56,Cloudy
,14480,101590,40,83.831702542696,,KEWR 021851Z 04007KT 9SM OVC007 14/12 A3000 RMK AO2 SLP159 T01440117 $,2022-05-02T18:51:00+00:00,,9,14.4,,,,11.7,,,101590,12.96,Cloudy
,16090,102000,30,89.269748995158,,KJFK 030751Z 03004KT 10SM OVC012 11/09 A3012 RMK AO2 SLP199 T01110094,2022-05-03T07:51:00+00:00,,7,11.1,,,,9.4,,,101990,7.56,Cloudy
,16090,101320,,64.859503898911,,KLGA 042351Z VRB03KT 10SM SCT075 BKN090 18/11 A2992 RMK AO2 SLP132 T01780111 10194 20122 53004,2022-05-04T23:51:00+00:00,,9,17.8,,,,11.1,,,101320,5.4,Mostly Cloudy
,16090,102100,140,71.717959085678,,KEWR 032151Z 14007KT 10SM SCT015 BKN140 BKN200 OVC250 13/08 A3015 RMK AO2 SLP209 T01330083,2022-05-03T21:51:00+00:00,,9,13.3,,,,8.3,,,102090,12.96,Cloudy
,16090,102030,340,28.593749077504,,KEWR 300851Z 34005KT 10SM CLR 08/M09 A3013 RMK AO2 SLP204 T00831089 55001,2022-04-30T08:51:00+00:00,,9,8.3,,,,-8.9,6.737267429777778,,102040,9.36,Clear
,16090,101860,110,71.62381165163,,KLGA 020451Z 11005KT 10SM BKN060 OVC100 13/08 A3008 RMK AO2 RAE32 SLP185 P0000 T01280078 401940089 $,2022-05-02T04:51:00+00:00,,9,12.8,,0,,7.8,,,101850,9.36,Cloudy
0,9660,101520,90,85.680481185637,,KLGA 041151Z 09007KT 6SM -RA BR OVC007 11/08 A2998 RMK AO2 RAE1059B15 SLP152 P0000 60009 70009 T01060083 10111 20100 58019,2022-05-04T11:51:00+00:00,,9,10.6,,0,,8.3,,,101520,12.96,Light Rain and Fog/Mist
,4020,101690,330,92.993524010865,,KJFK 022121Z 33009KT 2 1/2SM -DZ BR OVC006 12/11 A3003 RMK AO2 SFC VIS 4 P0000 T01220111,2022-05-02T21:21:00+00:00,,7,12.2,,0,,11.1,,,,16.56,Light Drizzle and Fog/Mist
,16090,102000,,43.16334660497,,KNYC 051551Z AUTO VRB03KT 10SM CLR 19/06 A3012 RMK AO2 SLP190 T01890061 $,2022-05-05T15:51:00+00:00,,27,18.9,,,,6.1,,,101900,5.4,Clear
,16090,101860,50,89.269748995158,,KLGA 030151Z 05006KT 10SM FEW011 OVC023 11/09 A3008 RMK AO2 SLP186 T01110094,2022-05-03T01:51:00+00:00,,9,11.1,,,,9.4,,,101860,11.16,Cloudy
,12870,101730,60,83.220266513554,,KEWR 021413Z 06006KT 8SM OVC009 14/11 A3004 RMK AO2 T01390111 $,2022-05-02T14:13:00+00:00,,9,13.9,,,,11.1,,,,11.16,Cloudy
,16090,101970,330,21.785241404839,,,2022-04-30T14:51:00+00:00,,3,14.4,,,,-7.2,,,101960,18.36,
,16090,102130,,26.402216264444,,KNYC 300551Z AUTO VRB05KT 10SM CLR 09/M09 A3016 RMK AO2 SLP203 T00891094 10144 20089 50006 $,2022-04-30T05:51:00+00:00,,27,8.9,,,,-9.4,7.450127322571666,,102030,9.36,Clear
,16090,101730,10,72.145507882091,,KEWR 050851Z 01009KT 10SM FEW022 FEW033 OVC075 16/11 A3004 RMK AO2 SLP170 T01560106 51006,2022-05-05T08:51:00+00:00,,9,15.6,,,,10.6,,,101700,16.56,Cloudy
,8050,101520,0,83.220266513554,,KNYC 041822Z AUTO 00000KT 5SM HZ SCT012 OVC037 14/11 A2998 RMK AO2 T01390111 $,2022-05-04T18:22:00+00:00,,27,13.9,,,,11.1,,,,0,Haze
,16090,101930,190,54.98026300121,,KNYC 020151Z AUTO 19005KT 10SM FEW100 BKN110 14/05 A3010 RMK AO2 SLP183 T01390050 $,2022-05-02T01:51:00+00:00,,27,13.9,,,,5,,,101830,9.36,Mostly Cloudy
,8050,101590,,89.404510853386,,KNYC 041651Z AUTO VRB03KT 5SM BR OVC008 13/11 A3000 RMK AO2 SLP150 T01280111 $,2022-05-04T16:51:00+00:00,,27,12.8,,,,11.1,,,101500,5.4,Fog/Mist
0,16090,101560,0,86.482711038053,,,2022-05-06T11:51:00+00:00,,7,12.8,,0,,10.6,,,101550,0,Light Rain
,16090,101800,190,22.638646687514,,KLGA 302351Z 19007KT 10SM FEW250 14/M07 A3006 RMK AO2 SLP178 T01441067 10194 20144 53010,2022-04-30T23:51:00+00:00,,9,14.4,,,,-6.7,,,101780,12.96,Mostly Clear
